row_type,scenario,method,comparison,metric,mean,median,std,min,max,positive_count,negative_count
method_metric,a3,R3,,ufar,0.020024721878862794,0.009888751545117428,0.0218057622459332,0.002472187886279357,0.05686032138442522,,
method_metric,a3,R3,,known_frr,0.049443757725587144,0.04697156983930779,0.010776017165737142,0.037082818294190356,0.06180469715698393,,
method_metric,a3,R3,,known_macro_f1,0.9688400455517046,0.973154655793114,0.010787815234279302,0.954920634920635,0.9814167365475555,,
paired_delta,a3,,R1-R0,delta_auroc,0.02044765241466138,0.015415267975693592,0.01614898772788338,0.004168188228535263,0.04651319136842791,5,0
paired_delta,a3,,R1-R0,delta_auprc,0.019420724614260497,0.01847346148057316,0.013847628003435648,0.002331632447234999,0.03808466447090908,5,0
paired_delta,a3,,R1-R0,delta_binary_f1,0.04671900084019278,0.04067511531272483,0.040474910813219966,0.01463688867734303,0.11587566571331476,5,0
paired_delta,a3,,R1-R0,delta_ufar,-0.08652657601977749,-0.07911001236093942,0.07010407386130649,-0.20519159456118663,-0.02843016069221261,0,5
paired_delta,a3,,R1-R0,delta_known_frr,0.0014833127317676136,0.001236093943139678,0.0010341903912658532,0.0,0.002472187886279356,4,0
paired_delta,a3,,R1-R0,delta_known_macro_f1,0.0020920086848518647,0.0,0.0033776052202059282,-0.0003308643199174677,0.007538355364442362,2,1
paired_delta,a3,,R2-R0,delta_auroc,0.02304788068713992,0.016018799629019087,0.018730428522008007,0.003237679932648785,0.05045371828975953,5,0
paired_delta,a3,,R2-R0,delta_auprc,0.02058104688950426,0.018599906923997822,0.021530857316878923,-0.006249454428944978,0.04719889114145037,4,1
paired_delta,a3,,R2-R0,delta_binary_f1,0.054239380821739805,0.04124014861738079,0.04227180375260863,0.019044367277623042,0.12500082734884332,5,0
paired_delta,a3,,R2-R0,delta_ufar,-0.09987639060568602,-0.07787391841779975,0.07019881870521066,-0.21384425216316438,-0.03831891223733004,0,5
paired_delta,a3,,R2-R0,delta_known_frr,-1.3877787807814458e-18,0.0,0.005731531826635169,-0.008652657601977753,0.0074165636588380685,2,1
paired_delta,a3,,R2-R0,delta_known_macro_f1,-0.0011023146224121926,-0.0013584288824375346,0.00438590272807252,-0.006688640507307331,0.005554283927397541,1,4
paired_delta,a3,,R2-R1,delta_auroc,0.002600228272478544,0.0006035316533254953,0.004207759902609904,-0.0009305082958864785,0.009373839729495681,4,1
paired_delta,a3,,R2-R1,delta_auprc,0.0011603222752437636,0.0001264454434246609,0.007894738878227132,-0.008581086876179977,0.00913222340347708,3,2
paired_delta,a3,,R2-R1,delta_binary_f1,0.0075203799815470205,0.0068494354635526555,0.006011030610541981,0.0005650333046559597,0.01665479090371791,5,0
paired_delta,a3,,R2-R1,delta_ufar,-0.013349814585908528,-0.009888751545117428,0.014239244254965842,-0.03708281829419036,0.001236093943139678,1,4
paired_delta,a3,,R2-R1,delta_known_frr,-0.0014833127317676151,-0.001236093943139678,0.005486363664072224,-0.009888751545117432,0.004944375772558712,2,3
paired_delta,a3,,R2-R1,delta_known_macro_f1,-0.0031943233072640577,-0.0022271014068716566,0.006464968999784877,-0.009941192887041761,0.0058851482473150085,1,4
paired_delta,a3,,R3-R2,delta_auroc,-0.0030219364656881133,-0.0033767214021492853,0.0020554654142393575,-0.005294271338663781,-0.0004553226144075051,0,5
paired_delta,a3,,R3-R2,delta_auprc,-0.005677294637153896,-0.004237382963523939,0.005273626152894539,-0.014703809455231975,-0.0010645459498577203,0,5
paired_delta,a3,,R3-R2,delta_binary_f1,-0.0052252966472000175,0.0005221001625697053,0.011424449021425823,-0.024046329332487848,0.003021749240236571,3,2
paired_delta,a3,,R3-R2,delta_ufar,0.009641532756489494,0.002472187886279357,0.017424102288100048,-0.003708281829419036,0.03831891223733004,3,2
paired_delta,a3,,R3-R2,delta_known_frr,0.0004944375772558726,-0.002472187886279356,0.005141318749835705,-0.0037082818294190342,0.008652657601977753,2,3
paired_delta,a3,,R3-R2,delta_known_macro_f1,-0.003601989365600833,0.0009862017071919915,0.009021142262670338,-0.017933479916317663,0.0037157525071646047,3,2
