protocol_id,setting,seed,method,analysis_type,application,precision,recall,f1,support,known_frr,unknown_recall,ufar,score_mean,score_median,top_absorbing_known_class,top_absorbed_count,hard_class
low_seed2025,Low,2025,M2,known_true_class,ssh,0.9948453608247423,0.9963126843657817,0.9955784819454679,1356,0.028023598820058997,,,2.695927950899994,-0.6615876772889884,,,False
low_seed2025,Low,2025,M2,known_true_class,youtube,0.9354838709677419,0.8529411764705882,0.8923076923076924,34,0.17647058823529413,,,21.384546473463594,11.71615227670891,,,False
low_seed2025,Low,2025,M2,unknown_true_class,vimeo,,,,1218,,0.06978653530377668,0.9302134646962233,25.606821971117927,21.915744815161265,youtube,691,False
low_seed2025,Low,2025,M2,unknown_true_class,zoiper,,,,939,,0.7816826411075612,0.21831735889243875,109.88001216335783,112.94255004139146,skype,658,False
low_seed2026,Low,2026,M0,known_true_class,netflix,1.0,0.8,0.8888888888888888,20,1.0,,,16.868423652648925,17.28986358642578,,,False
low_seed2026,Low,2026,M0,known_true_class,rdp,1.0,0.5,0.6666666666666666,4,1.0,,,14.856719732284546,15.457441329956055,,,False
low_seed2026,Low,2026,M0,known_true_class,rsync,0.0,0.0,0.0,191,0.005235602094240838,,,5.636898976970094,5.583035469055176,,,True
low_seed2026,Low,2026,M0,known_true_class,scp,0.5528255528255528,0.982532751091703,0.7075471698113207,229,0.021834061135371178,,,5.696443684757016,5.61433219909668,,,True
low_seed2026,Low,2026,M0,known_true_class,skype,0.9761904761904762,0.9761904761904762,0.9761904761904762,126,0.42063492063492064,,,8.806144653804719,8.255368709564209,,,False
low_seed2026,Low,2026,M0,known_true_class,ssh,0.9883296863603209,0.9992625368731564,0.9937660432709937,1356,0.0007374631268436578,,,3.6270053388446484,3.5458565950393677,,,False
low_seed2026,Low,2026,M0,known_true_class,vimeo,0.968,1.0,0.983739837398374,121,0.1487603305785124,,,8.079567282653052,7.916542053222656,,,False
low_seed2026,Low,2026,M0,known_true_class,zoiper,0.978494623655914,0.978494623655914,0.978494623655914,93,0.13978494623655913,,,7.431003796157016,7.3021392822265625,,,False
low_seed2026,Low,2026,M0,unknown_true_class,sftp,,,,1668,,0.020983213429256596,0.9790167865707434,5.709104412894169,5.549729585647583,scp,1626,True
low_seed2026,Low,2026,M0,unknown_true_class,youtube,,,,341,,0.9648093841642229,0.03519061583577713,14.940619718993513,15.014431953430176,netflix,263,False
low_seed2026,Low,2026,M1,known_true_class,netflix,0.95,0.95,0.95,20,0.2,,,3.9983830617678584,1.152763701773912,,,False
low_seed2026,Low,2026,M1,known_true_class,rdp,0.23529411764705882,1.0,0.38095238095238093,4,0.75,,,3.5356791562646412,3.5394178819588458,,,False
low_seed2026,Low,2026,M1,known_true_class,rsync,0.4416403785488959,0.7329842931937173,0.5511811023622047,191,0.05759162303664921,,,0.606879852441312,0.20195940978821983,,,True
low_seed2026,Low,2026,M1,known_true_class,scp,0.5161290322580645,0.2096069868995633,0.2981366459627329,229,0.048034934497816595,,,0.5534603724869155,0.206045760646309,,,True
low_seed2026,Low,2026,M1,known_true_class,skype,1.0,0.9285714285714286,0.9629629629629629,126,0.15873015873015872,,,1.604533306649884,1.1240377703267228,,,False
low_seed2026,Low,2026,M1,known_true_class,ssh,0.9926739926739927,0.9992625368731564,0.9959573686144799,1356,0.038348082595870206,,,0.3098473205634261,0.029101770426537825,,,False
low_seed2026,Low,2026,M1,known_true_class,vimeo,0.9917355371900827,0.9917355371900827,0.9917355371900827,121,0.049586776859504134,,,0.7248474005565204,0.1844375558247125,,,False
low_seed2026,Low,2026,M1,known_true_class,zoiper,0.9888888888888889,0.956989247311828,0.9726775956284153,93,0.13978494623655913,,,1.302076326424492,0.7159918554037766,,,False
low_seed2026,Low,2026,M1,unknown_true_class,sftp,,,,1668,,0.046163069544364506,0.9538369304556354,0.544845394307187,0.19416835334762297,rsync,1275,True
low_seed2026,Low,2026,M1,unknown_true_class,youtube,,,,341,,0.3284457478005865,0.6715542521994134,4.379009315070916,1.3728337682205345,netflix,293,False
low_seed2026,Low,2026,M2,known_true_class,netflix,0.95,0.95,0.95,20,0.2,,,55.43422982729784,20.75501579283778,,,False
low_seed2026,Low,2026,M2,known_true_class,rdp,0.23529411764705882,1.0,0.38095238095238093,4,1.0,,,70.43893831275463,67.16263483633158,,,False
low_seed2026,Low,2026,M2,known_true_class,rsync,0.4416403785488959,0.7329842931937173,0.5511811023622047,191,0.05759162303664921,,,8.44643522517816,2.769480287248162,,,True
low_seed2026,Low,2026,M2,known_true_class,scp,0.5161290322580645,0.2096069868995633,0.2981366459627329,229,0.048034934497816595,,,7.737278005830477,2.6824841520407734,,,True
