method,protocol_id,setting,protocol_seed,class,local_label,precision,recall,f1,support,train_support,delta_precision_vs_od,delta_recall_vs_od,delta_f1_vs_od
od,low_seed2022,Low,2022,youtube,6,0.9166666666666666,0.9705882352941176,0.9428571428571428,34,273,0.0,0.0,0.0
f0,low_seed2022,Low,2022,youtube,6,0.5,0.0294117647058823,0.0555555555555555,34,273,-0.41666666666666663,-0.9411764705882354,-0.8873015873015874
f2,low_seed2022,Low,2022,youtube,6,0.5333333333333333,0.7058823529411765,0.6075949367088608,34,273,-0.3833333333333333,-0.2647058823529411,-0.33526220614828206
od,low_seed2022,Low,2022,zoiper,7,1.0,0.978494623655914,0.9891304347826086,93,753,0.0,0.0,0.0
f0,low_seed2022,Low,2022,zoiper,7,0.8653846153846154,0.967741935483871,0.9137055837563453,93,753,-0.13461538461538458,-0.010752688172043001,-0.0754248510262634
f2,low_seed2022,Low,2022,zoiper,7,0.9888888888888888,0.956989247311828,0.9726775956284154,93,753,-0.011111111111111183,-0.021505376344086002,-0.016452839154193266
od,low_seed2023,Low,2023,rdp,0,1.0,1.0,1.0,4,36,0.0,0.0,0.0
f0,low_seed2023,Low,2023,rdp,0,1.0,0.25,0.4,4,36,0.0,-0.75,-0.6
f2,low_seed2023,Low,2023,rdp,0,0.8,1.0,0.888888888888889,4,36,-0.19999999999999996,0.0,-0.11111111111111105
od,low_seed2023,Low,2023,rsync,1,0.4230769230769231,0.34554973821989526,0.3804034582132565,191,1530,0.0,0.0,0.0
f0,low_seed2023,Low,2023,rsync,1,0.0,0.0,0.0,191,1530,-0.4230769230769231,-0.34554973821989526,-0.3804034582132565
f2,low_seed2023,Low,2023,rsync,1,0.3611111111111111,0.4083769633507853,0.3832923832923833,191,1530,-0.06196581196581197,0.06282722513089006,0.002888925079126803
od,low_seed2023,Low,2023,scp,2,0.4232081911262799,0.5414847161572053,0.47509578544061304,229,1832,0.0,0.0,0.0
f0,low_seed2023,Low,2023,scp,2,0.4236453201970443,0.7510917030567685,0.5417322834645669,229,1832,0.0004371290707644304,0.20960698689956325,0.06663649802395388
f2,low_seed2023,Low,2023,scp,2,0.3818181818181818,0.3668122270742358,0.3741648106904232,229,1832,-0.04139000930809811,-0.1746724890829695,-0.10093097475018986
od,low_seed2023,Low,2023,sftp,3,0.5572519083969466,0.4397590361445783,0.49158249158249157,166,1336,0.0,0.0,0.0
f0,low_seed2023,Low,2023,sftp,3,0.4137931034482758,0.4337349397590361,0.4235294117647059,166,1336,-0.1434588049486708,-0.006024096385542188,-0.06805307981778569
f2,low_seed2023,Low,2023,sftp,3,0.4693877551020408,0.4156626506024096,0.4408945686900958,166,1336,-0.08786415329490582,-0.024096385542168697,-0.050687922892395765
od,low_seed2023,Low,2023,ssh,4,0.9955947136563876,1.0,0.9977924944812362,1356,10851,0.0,0.0,0.0
f0,low_seed2023,Low,2023,ssh,4,0.9934065934065934,1.0,0.9966923925027564,1356,10851,-0.002188120249794201,0.0,-0.0011001019784797617
f2,low_seed2023,Low,2023,ssh,4,0.9948604992657856,0.9992625368731564,0.997056659308315,1356,10851,-0.0007342143906020615,-0.0007374631268436405,-0.0007358351729211954
od,low_seed2023,Low,2023,vimeo,5,0.9916666666666667,0.9834710743801653,0.9875518672199171,121,976,0.0,0.0,0.0
f0,low_seed2023,Low,2023,vimeo,5,1.0,0.9834710743801652,0.9916666666666668,121,976,0.008333333333333304,-1.1102230246251565e-16,0.004114799446749751
f2,low_seed2023,Low,2023,vimeo,5,1.0,0.975206611570248,0.98744769874477,121,976,0.008333333333333304,-0.008264462809917328,-0.00010416847514704841
od,low_seed2023,Low,2023,youtube,6,0.9428571428571428,0.9705882352941176,0.9565217391304348,34,273,0.0,0.0,0.0
f0,low_seed2023,Low,2023,youtube,6,0.9444444444444444,1.0,0.9714285714285714,34,273,0.0015873015873015817,0.02941176470588236,0.014906832298136607
