replicate,delta_unknown_far_multi_minus_single,delta_auroc_multi_minus_single,delta_auprc_multi_minus_single
57,0.004122602616956517,0.019378738202216805,0.01564170019434097
58,0.0034056282487900935,0.0197596742687427,0.012994040155818731
59,0.003943359024914828,0.017594645638330686,0.018011357607964962
60,0.0016131923283742022,0.017124534519713075,0.015433742692406327
61,0.0037641154328732496,0.019062290449175734,0.015782840249498997
62,0.00017924359204157803,0.019712042265549568,0.015050463931514435
63,0.0019716795124573583,0.017283645679315285,0.014823988655610854
64,0.006632012905538609,0.018801652595143103,0.01262852243315471
65,0.0037641154328732496,0.018328459770717398,0.018196565086630256
66,0.0032263846567485155,0.020801121234604314,0.016879122998726737
67,0.0034056282487900935,0.019765312342590047,0.014843747571226862
68,0.0023301666965406254,0.019242245522289814,0.015938827827371438
69,0.004122602616956406,0.019441588454627845,0.0159016482981843
70,0.0023301666965406254,0.01850255339801965,0.018886515950250538
71,-0.0008962179602078901,0.019991637780948923,0.02017262979159712
72,0.004839576985122718,0.017871846109887013,0.015019742351259802
73,0.004839576985122718,0.017756031882757428,0.01536688500851141
74,0.00035848718408315605,0.016059418398639003,0.013915335216612368
75,0.0034056282487900935,0.01881180774649671,0.017458425161009594
76,0.0026886538806237814,0.019046894329689423,0.017565306135719716
77,0.0014339487363326242,0.01861277505299841,0.017301761888156075
78,0.0017924359204157803,0.01849489256693715,0.015104362883414602
79,0.0008962179602078901,0.018387686433480543,0.013867155587452662
80,0.0037641154328732496,0.0191602597382442,0.01289023621632357
81,0.0017924359204157803,0.01932172457651049,0.011374619865504476
82,0.0014339487363326242,0.017673363573264433,0.01472350530440264
83,0.0017924359204158913,0.018530694129041958,0.013763316262764502
84,0.0021509231044989363,0.018964958183858238,0.014523248565474822
85,0.0023301666965406254,0.018442367063112197,0.012810178171207942
86,0.0021509231044990473,0.018144918336616245,0.015831304554301873
87,0.004122602616956406,0.01633578329358709,0.013642548148104172
88,0.0032263846567485155,0.019444653614364316,0.016729557996008115
89,0.0008962179602080012,0.01825855675534971,0.018243878354858967
90,0.00035848718408315605,0.01658047487125791,0.01660537604096629
91,0.0016131923283742022,0.019421952404331977,0.012964485112635149
92,0.005556551353289141,0.020091774605377477,0.01225446987456319
93,0.0019716795124574693,0.01883703223242561,0.013891613252201174
94,0.0,0.01839935555037231,0.01643125486386926
95,0.0037641154328733606,0.01856202825185449,0.017223458996835084
96,0.0026886538806237814,0.01827364263599629,0.017873855211164358
97,0.0032263846567485155,0.018114378425233224,0.013474433423199317
98,0.0028678974726653594,0.01891594458369894,0.016474267515527385
99,0.0014339487363327352,0.01957528484847937,0.017318554206456893
100,0.004839576985122829,0.018186912265961808,0.013833561609601475
101,0.006094282129413875,0.01811009712924505,0.0155721748143125
102,0.009499910378203968,0.019791186261823412,0.013364814292918081
103,0.0017924359204158913,0.0188262028286601,0.015677399371607614
104,0.0037641154328733606,0.017967784368684736,0.01252725499891083
105,0.0017924359204157803,0.01734624774065463,0.014373164687478124
106,0.0030471410647069375,0.019758309217847936,0.017129698825237183
107,0.0010754615522494682,0.01812586967185692,0.017679408418747766
108,0.004301846208997984,0.01601840068750915,0.014052328835482852
109,0.0012547051442910462,0.020207080040809955,0.016946703724742662
110,0.0025094102885822034,0.018335268479119926,0.017823491871002906
111,0.0021509231044989363,0.01720019970446407,0.013878896049902556
112,0.004301846208997984,0.01953531367636885,0.01768778666262122
113,0.004481089801039673,0.019952382226428367,0.017647639557623773
114,0.0030471410647069375,0.020926763828176487,0.014104039759451015
115,-0.0021509231044990473,0.01826595284928889,0.014255434806559997
116,0.0019716795124574693,0.017070308907046416,0.016306761235743594
117,-0.0007169743681663121,0.017359885840049105,0.017056891839006605
118,0.0,0.02087514422176351,0.019863868111652194
119,0.0035848718408316715,0.0182632930683031,0.014118606621713992
120,0.003943359024914828,0.018347467070298107,0.015480407013151454
121,0.0034056282487902045,0.01717118616817248,0.01603470558723763
122,0.0032263846567485155,0.016312399558107482,0.015438262186481533
123,0.0030471410647069375,0.0187553070490053,0.015514879520372782
124,0.0014339487363327352,0.0163066994364921,0.011647058378973785
125,0.0030471410647069375,0.01972796372280461,0.013514854442471746
126,0.0012547051442910462,0.019840257773232728,0.013429832920694829
127,0.00035848718408315605,0.01887336740533463,0.01731478725483898
128,0.0037641154328733606,0.01714443530715226,0.017617035915068247
129,0.0019716795124574693,0.017688395679178792,0.01328647432922081
130,0.005556551353289141,0.01959449483743536,0.01308491361311992
131,0.0019716795124573583,0.017391381287058305,0.014186911022224913
132,0.0010754615522495792,0.01783748405599861,0.01716543461096881
133,0.00555655135328903,0.018538648652892453,0.016389317638471346
134,0.0026886538806237814,0.017934750137030386,0.017868498247842257
135,0.004839576985122829,0.018487707435409173,0.015765321833999146
136,0.0025094102885822034,0.017903416014217854,0.014745350066135587
137,0.0014339487363327352,0.017614910439341602,0.011996589241401068
138,0.004301846208997984,0.019493927815148915,0.01692987794938383
139,0.0023301666965405143,0.017009965384460424,0.015462863772496005
140,0.0032263846567485155,0.020567829900164036,0.01857414206809932
141,0.004660333393081251,0.01834034812305574,0.013665239784400707
142,0.0017924359204157803,0.01692130326058372,0.015716814145026348
143,0.0023301666965406254,0.018286287971103654,0.01628351806231798
144,-0.00017924359204157803,0.019574283811156556,0.016697172437612817
145,0.004481089801039673,0.01934108761662723,0.014844499733175587
146,0.0017924359204158913,0.019583710935366483,0.016903181989478655
147,0.0034056282487900935,0.016945282654635907,0.013351794537400152
148,0.004122602616956517,0.019390092943750714,0.011872257461693458
149,0.0023301666965406254,0.01879332992120253,0.014929992127849345
150,0.0030471410647069375,0.017136170544461926,0.013931283807107175
151,0.0019716795124573583,0.018921574384510587,0.016080234613148447
152,0.0017924359204158913,0.01875086029230255,0.012257442125545859
153,0.0034056282487900935,0.017592751113149396,0.01169661288106616
154,0.0037641154328732496,0.019573415142405293,0.012176955076176443
155,0.003943359024914828,0.016431684323723994,0.014674311991220157
156,0.0016131923283742022,0.0194177000639687,0.015816312093854867
157,0.0026886538806236704,0.018220612476992137,0.014385385186892308
158,0.0034056282487900935,0.01970891092152749,0.01598938084392648
159,-0.0034056282487900935,0.020244817493274447,0.014487955032259026
