analysis_level,dataset,dataset_scope,protocol_id,setting,seed,candidate,delta_auroc_vs_h0,delta_auprc_vs_h0,delta_ufar_vs_h0,delta_known_frr_vs_h0,delta_auroc_vs_des0,delta_auprc_vs_des0,delta_ufar_vs_des0,positive_vs_h0,negative_vs_h0,comparison,reference,protocols,mean_delta_auroc,std_delta_auroc,bootstrap_ci95_low_auroc,bootstrap_ci95_high_auroc,mean_delta_auprc,mean_delta_ufar,positive_protocols,negative_protocols,zero_protocols,worst_delta_auroc,best_delta_auroc,bootstrap_repetitions,bootstrap_seed
protocol,USTC-TFC2016,primary_development,a2_seed2024,A2,2024,H1,0.07962916666666675,0.05082381595525054,-0.043333333333333335,0.0,-0.037984722222222156,-0.02351137278028126,0.015000000000000013,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2024,A2,2024,H2,0.10400833333333326,0.06670383741222596,-0.05833333333333335,-0.003333333333333334,-0.013605555555555648,-0.007631351323305835,0.0,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2024,A2,2024,H3,0.04741111111111118,0.027774248505644805,-0.020000000000000018,0.008333333333333331,-0.07020277777777773,-0.04656094022988699,0.03833333333333333,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2025,A2,2025,H1,0.0682638888888889,0.03691133938047142,-0.033333333333333326,-0.006666666666666668,-0.024016666666666686,-0.017844272011993234,0.033333333333333326,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2025,A2,2025,H2,0.10141111111111112,0.05619496037386773,-0.051666666666666694,-0.0016666666666666705,0.00913055555555553,0.0014393489814030769,0.014999999999999958,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2025,A2,2025,H3,0.04985138888888896,0.0230646318096992,-0.031666666666666676,0.0,-0.04242916666666663,-0.031690979582765455,0.034999999999999976,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2026,A2,2026,H1,0.03400277777777805,0.0209764316129738,-0.031666666666666676,-0.003333333333333327,-0.024447222222222176,-0.012581794481295483,0.016666666666666663,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2026,A2,2026,H2,0.09340416666666684,0.04476626076527623,-0.05166666666666664,0.0,0.03495416666666662,0.01120803467100695,-0.0033333333333332993,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2026,A2,2026,H3,0.013138888888888922,0.006185611513285227,-0.019999999999999962,0.0050000000000000044,-0.0453111111111113,-0.027372614580984056,0.028333333333333377,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2022,A3,2022,H1,0.003655568305267809,0.0023151337465364685,-0.016069221260815822,0.001236093943139678,-0.0005126199232674544,-1.6498700698530655e-05,0.012360939431396788,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2022,A3,2022,H2,0.0054600515522985615,0.003864954690297795,-0.032138442521631644,0.002472187886279356,0.0012918633237632982,0.0015333222430627957,-0.003708281829419036,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2022,A3,2022,H3,0.0012758200772825523,-0.0021743998731337255,-0.006180469715698397,0.002472187886279356,-0.002892368151252711,-0.004506032320368725,0.022249690976514212,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2023,A3,2023,H1,0.011343339226043248,0.01100278962021406,-0.06674907292954264,-0.001236093943139678,-0.004071928749650344,-0.007470671860359102,0.012360939431396788,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2023,A3,2023,H2,0.012973638654139696,0.012889662709438254,-0.08281829419035847,0.0,-0.0024416293215538953,-0.005583798771134907,-0.003708281829419036,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2023,A3,2023,H3,0.005374487571067621,-0.0010097816246499303,-0.05315203955500618,0.00618046971569839,-0.01004078040462597,-0.01948324310522309,0.025957972805933253,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2024,A3,2024,H1,0.01757957832236523,0.01883652493730048,-0.04202719406674907,-0.007416563658838075,-0.006063583205624057,-0.008193577363993065,0.037082818294190356,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2024,A3,2024,H2,0.02215037564115685,0.023157705233506243,-0.07911001236093942,-0.004944375772558719,-0.0014927858868324373,-0.003872397067787303,0.0,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2024,A3,2024,H3,0.01353362435273131,0.013307401770293548,-0.018541409147095178,-0.002472187886279363,-0.010109537175257977,-0.013722700530999998,0.060568603213844247,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a3_seed2025,A3,2025,H1,0.009834510092730064,0.007418450736858095,-0.034610630407911,-0.003708281829419041,-0.0026639428799307696,-0.00376531163443361,0.00618046971569839,1,0,,,,,,,,,,,,,,,,
