unknown_service,variant,service,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Streaming,E4_NO_MS,VoIP,3,0.9594444444444444,0.03266931206219811,0.9305555555555557,0.039283710065919325,0.9434807256235828,0.010734812189257132
Streaming,E4_NO_RNN,Chat,3,0.6787878787878787,0.029998469504883815,0.7777777777777778,0.0,0.7245614035087719,0.017367534976511695
Streaming,E4_NO_RNN,Email,3,0.8962962962962963,0.005237828008789275,0.7222222222222222,0.039283710065919325,0.7994227994227995,0.02652925874581568
Streaming,E4_NO_RNN,File-Transfer,3,0.6666666666666666,0.0,0.7272727272727272,1.1102230246251565e-16,0.6956521739130435,0.0
Streaming,E4_NO_RNN,P2P,3,0.8541244511989192,0.0024819320440456834,0.82,0.016329931618554488,0.8366539368012121,0.009693036084714777
Streaming,E4_NO_RNN,VoIP,3,0.920982905982906,0.03010325086458223,0.9583333333333334,0.0,0.9390362811791383,0.015650604082850073
Streaming,E4_BASE,Chat,3,0.6999999999999998,1.1102230246251565e-16,0.7777777777777778,0.0,0.7368421052631579,0.0
Streaming,E4_BASE,Email,3,0.8727272727272727,0.038569460791993485,0.75,0.0,0.8063241106719369,0.016769330779127616
Streaming,E4_BASE,File-Transfer,3,0.6666666666666666,0.0,0.7272727272727272,1.1102230246251565e-16,0.6956521739130435,0.0
Streaming,E4_BASE,P2P,3,0.8561507936507936,0.001402989645211399,0.8333333333333334,0.009428090415820642,0.8445681302824161,0.005539076001873586
Streaming,E4_BASE,VoIP,3,0.944951690821256,0.01765900383220334,0.9444444444444445,0.01964185503295969,0.9444263521011242,0.009891073043576146
